iter	Passed	Remaining
698	37431	16118
699	37481	16063
700	37533	16009
701	37584	15954
702	37638	15901
703	37691	15847
704	37741	15792
705	37790	15737
706	37838	15681
707	37889	15626
708	37940	15572
709	37991	15517
710	38042	15463
711	38096	15409
712	38150	15356
713	38200	15301
714	38251	15246
715	38299	15191
716	38353	15138
717	38403	15083
718	38452	15028
719	38500	14972
720	38550	14917
721	38601	14863
722	38650	14808
723	38701	14753
724	38748	14697
725	38798	14642
726	38851	14589
727	38903	14535
728	38955	14481
729	39006	14426
730	39059	14373
731	39109	14318
732	39158	14263
733	39208	14209
734	39260	14155
735	39311	14101
736	39360	14045
737	39410	13991
738	39459	13936
739	39509	13881
740	39561	13827
741	39619	13776
742	39679	13725
743	39742	13674
744	39791	13620
745	39840	13564
746	39888	13509
747	39939	13455
748	39994	13402
749	40051	13350
750	40107	13298
751	40158	13243
752	40209	13189
753	40262	13136
754	40312	13081
755	40366	13028
756	40420	12975
757	40470	12920
758	40519	12865
759	40568	12811
760	40622	12758
761	40674	12704
762	40725	12650
763	40777	12596
764	40833	12543
765	40890	12491
766	40948	12439
767	41006	12387
768	41060	12334
769	41112	12280
770	41162	12225
771	41212	12171
772	41268	12118
773	41318	12064
774	41368	12010
775	41419	11956
776	41469	11901
777	41520	11847
778	41570	11793
779	41619	11738
780	41670	11684
781	41725	11631
782	41783	11579
783	41835	11526
784	41887	11472
785	41938	11418
786	41992	11365
787	42042	11310
788	42092	11256
789	42142	11202
790	42193	11148
791	42242	11093
792	42300	11041
793	42354	10988
794	42407	10935
795	42458	10881
796	42512	10828
797	42569	10775
798	42625	10723
799	42687	10671
800	42741	10618
801	42792	10564
802	42843	10510
803	42892	10456
804	42942	10402
805	42991	10347
806	43043	10294
807	43095	10240
808	43146	10186
809	43198	10133
810	43250	10079
811	43302	10025
812	43353	9971
813	43403	9917
814	43455	9864
815	43505	9810
816	43554	9755
817	43603	9701
818	43653	9647
819	43703	9593
820	43751	9539
821	43801	9484
822	43850	9430
823	43900	9376
824	43953	9323
825	44004	9269
826	44055	9216
827	44107	9162
828	44158	9108
829	44209	9054
830	44260	9001
831	44311	8947
832	44362	8893
833	44416	8840
834	44465	8786
835	44515	8732
836	44568	8679
837	44630	8627
838	44688	8575
839	44745	8523
840	44801	8470
841	44859	8417
842	44919	8365
843	44977	8313
844	45040	8261
845	45101	8209
846	45158	8157
847	45218	8105
848	45276	8052
849	45335	8000
850	45387	7946
851	45437	7892
852	45489	7839
853	45541	7785
854	45601	7733
855	45658	7680
856	45708	7626
857	45760	7573
858	45810	7519
859	45870	7467
860	45925	7414
861	45978	7360
862	46036	7308
863	46096	7255
864	46153	7203
865	46209	7150
866	46260	7096
867	46311	7042
868	46362	6988
869	46415	6935
870	46467	6882
871	46518	6828
872	46567	6774
873	46619	6720
874	46670	6667
875	46716	6612
876	46766	6559
877	46816	6505
878	46867	6451
879	46917	6397
880	46967	6344
881	47017	6290
882	47068	6236
883	47118	6182
884	47168	6129
885	47218	6075
886	47270	6022
887	47320	5968
888	47370	5914
889	47420	5860
890	47471	5807
891	47522	5753
892	47571	5700
893	47621	5646
894	47672	5592
895	47722	5539
896	47769	5485
897	47816	5431
898	47866	5377
899	47915	5323
900	47965	5270
901	48016	5216
902	48066	5163
903	48117	5109
904	48168	5056
905	48219	5002
906	48268	4949
907	48319	4895
908	48370	4842
909	48422	4788
910	48474	4735
911	48526	4682
912	48576	4628
913	48627	4575
914	48677	4521
915	48726	4468
916	48776	4414
917	48828	4361
918	48878	4308
919	48928	4254
920	48978	4201
921	49028	4147
922	49076	4094
923	49124	4040
924	49176	3987
925	49224	3933
926	49274	3880
927	49323	3826
928	49372	3773
929	49423	3720
930	49474	3666
931	49525	3613
932	49577	3560
933	49629	3507
934	49678	3453
935	49725	3400
936	49775	3346
937	49825	3293
938	49876	3240
939	49925	3186
940	49975	3133
941	50023	3080
942	50071	3026
943	50121	2973
944	50169	2919
945	50218	2866
946	50268	2813
947	50318	2760
948	50368	2706
949	50417	2653
950	50467	2600
951	50523	2547
952	50579	2494
953	50642	2441
954	50692	2388
955	50742	2335
956	50795	2282
957	50849	2229
958	50898	2176
959	50948	2122
960	50999	2069
961	51052	2016
962	51103	1963
963	51153	1910
964	51202	1857
965	51252	1803
966	51304	1750
967	51356	1697
968	51413	1644
969	51464	1591
970	51517	1538
971	51569	1485
972	51621	1432
973	51670	1379
974	51719	1326
975	51772	1273
976	51822	1219
977	51871	1166
978	51922	1113
979	51979	1060
980	52032	1007
981	52083	954
982	52132	901
983	52183	848
984	52232	795
985	52282	742
986	52331	689
987	52381	636
988	52432	583
989	52486	530
990	52545	477
991	52603	424
992	52662	371
993	52720	318
994	52775	265
995	52832	212
996	52888	159
997	52943	106
998	52999	53
999	53058	0
